%TITLE%
 IAD   241116/1200 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
   90.00,  16988.01,    -67.45,    -87.20,    295.00,     31.00
   84.00,  17404.93,    -66.70,    -87.70,  -9999.00,  -9999.00
   81.00,  17626.84,    -64.44,    -87.86,    315.00,     33.00
   80.30,  17679.80,    -63.90,    -87.90,  -9999.00,  -9999.00
   74.80,  18114.18,    -65.30,    -88.30,  -9999.00,  -9999.00
   74.00,  18179.95,    -65.02,    -88.30,    290.00,     19.00
   72.00,  18347.53,    -64.30,    -88.30,  -9999.00,  -9999.00
   70.00,  18520.00,    -64.90,    -88.90,    305.00,     21.00
   68.00,  18696.36,    -64.97,    -88.97,    320.00,     22.01
   64.10,  19055.70,    -65.10,    -89.10,  -9999.00,  -9999.00
   64.00,  19065.23,    -65.02,    -89.07,    315.00,     23.00
   63.00,  19161.37,    -64.23,    -88.77,    335.00,     24.01
   62.10,  19249.21,    -63.50,    -88.50,  -9999.00,  -9999.00
   61.00,  19358.20,    -63.81,    -88.66,    345.00,     16.01
   59.00,  19561.51,    -64.40,    -88.95,    335.00,      6.99
   55.40,  19945.46,    -65.50,    -89.50,  -9999.00,  -9999.00
   54.00,  20100.81,    -65.50,    -89.50,    335.00,     10.00
   52.40,  20283.37,    -65.50,    -89.50,  -9999.00,  -9999.00
   52.00,  20330.19,    -65.00,    -89.36,    305.00,     15.00
   51.00,  20448.84,    -63.73,    -88.99,    320.00,     17.00
   50.20,  20545.45,    -62.70,    -88.70,  -9999.00,  -9999.00
   50.00,  20570.00,    -62.70,    -88.70,    310.00,     16.01
   49.00,  20693.76,    -63.36,    -88.99,    290.00,     16.01
   48.00,  20820.08,    -64.02,    -89.29,    300.00,     14.01
   47.30,  20910.07,    -64.50,    -89.50,  -9999.00,  -9999.00
   46.00,  21081.70,    -64.12,    -89.40,    275.00,     12.00
   43.00,  21497.02,    -63.18,    -89.17,    330.00,     10.00
   37.00,  22422.49,    -61.11,    -88.65,     60.00,      0.99
   35.40,  22694.72,    -60.50,    -88.50,  -9999.00,  -9999.00
   30.50,  23617.87,    -61.90,    -88.90,  -9999.00,  -9999.00
   30.00,  23720.00,    -61.70,    -89.70,    355.00,      4.99
   29.00,  23931.05,    -61.13,    -89.54,    335.00,     10.00
   27.60,  24239.08,    -60.30,    -89.30,  -9999.00,  -9999.00
   27.00,  24375.64,    -60.63,    -89.33,    325.00,     17.00
   26.00,  24610.14,    -61.19,    -89.38,    315.00,     16.01
   23.80,  25159.49,    -62.50,    -89.50,  -9999.00,  -9999.00
   23.00,  25371.64,    -61.23,    -89.02,    355.00,     15.00
   22.80,  25425.83,    -60.90,    -88.90,  -9999.00,  -9999.00
   22.00,  25647.87,    -61.32,    -89.32,    330.00,      8.00
   21.30,  25848.89,    -61.70,    -89.70,  -9999.00,  -9999.00
   20.00,  26240.00,    -61.30,    -89.30,    315.00,     15.00
   19.70,  26333.71,    -61.50,    -89.50,  -9999.00,  -9999.00
   19.00,  26559.64,    -60.42,    -89.09,    285.00,     19.00
   18.00,  26897.26,    -58.80,    -88.49,    290.00,     22.01
   17.70,  27002.21,    -58.30,    -88.30,  -9999.00,  -9999.00
   17.00,  27255.49,    -59.07,    -88.30,    270.00,     25.00
   16.80,  27329.77,    -59.30,    -88.30,  -9999.00,  -9999.00
   15.50,  27834.35,    -59.10,    -88.10,  -9999.00,  -9999.00
   15.00,  28042.95,    -58.19,    -87.76,    290.00,     21.00
   14.00,  28481.86,    -56.28,    -87.04,    305.00,     16.01
   13.00,  28953.31,    -54.23,    -86.27,    305.00,     22.01
   12.30,  29305.44,    -52.70,    -85.70,  -9999.00,  -9999.00
   12.00,  29464.62,    -52.84,    -85.60,    310.00,     20.01
   11.10,  29967.21,    -53.30,    -85.30,  -9999.00,  -9999.00
   11.00,  30025.53,    -53.26,    -85.36,    305.00,     19.00
   10.10,  30575.56,    -52.90,    -85.90,  -9999.00,  -9999.00
   10.00,  30640.00,    -51.10,    -85.10,    265.00,     23.00
    9.70,  30838.63,    -49.90,    -84.90,  -9999.00,  -9999.00
    9.00,  31329.49,    -48.90,    -83.90,    265.00,     22.01
    8.20,  31938.46,    -50.70,    -84.70,  -9999.00,  -9999.00
    8.00,  32101.00,    -49.98,    -84.45,    270.00,     23.00
    7.00,  32980.00,    -46.10,    -83.10,    245.00,     37.01
    6.90,  33075.68,    -45.90,    -82.90,  -9999.00,  -9999.00
    6.70,  33272.98,    -42.10,    -82.10,  -9999.00,  -9999.00
    6.50,  33478.30,    -41.30,    -82.30,  -9999.00,  -9999.00
    6.40,  33584.48,    -37.10,    -79.10,  -9999.00,  -9999.00
    6.20,  33803.49,    -37.90,    -79.90,  -9999.00,  -9999.00
    6.00,  34030.46,    -36.72,    -79.21,    240.00,     33.00
    5.80,  34265.11,    -35.50,    -78.50,  -9999.00,  -9999.00
